isomeric_smiles,logS0
C(\C=C\c1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1,-5.34
C(c1ccccc1)n1ccnc1,-2.26
C1Cc2ccccc2N1,-1.04
C1O[C@H]1c1ccccc1,-1.6
C=CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,-2.346
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-1.796
C=CCS[S@@](=O)CC=C,-0.83
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c1ccc(cc1)N(C)C,-5.825
CC(=C)[C@@H]1CC=C(C)C(=O)C1,-2.06
CC(=C)[C@H]1CC=C(C)C(=O)C1,-2.06
CC(=O)C(C)(C)C,-0.723666667
CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O,-0.558
CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,-4.761
CC(=O)N1CCN(CC1)c1ccc(OC[C@H]2CO[C@@](Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1,-3.8
CC(=O)NC(N)=O,-0.9
CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(N2CCN(CC2)C(=O)CO)c(F)c1,-1.97
CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(N2CCOCC2)c(F)c1,-2.07
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I,-2.321
CC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.5135
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I,-2.788
CC(=O)Nc1ccc(C=O)cc1,-1.58
CC(=O)Nc1ccc(Cl)cc1,-2.842
CC(=O)Nc1ccc(F)cc1,-1.78
CC(=O)Nc1ccc(N)cc1,-0.98
CC(=O)Nc1ccc(O)cc1,-1.064
CC(=O)Nc1ccc(OC(C)=O)cc1,-1.91
CC(=O)Nc1ccc(cc1)S(N)(=O)=O,-1.61
CC(=O)Nc1ccc(cc1)[N+]([O-])=O,-2.691333333
CC(=O)Nc1cccc(C)c1,-2.09
CC(=O)Nc1ccccc1,-1.398
CC(=O)Nc1ccccc1Cl,-1.4
CC(=O)Nc1ccccc1[N+]([O-])=O,-1.91
CC(=O)Nc1nnc(s1)S(N)(=O)=O,-2.462
CC(=O)OC1CCCCC1,-1.67
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1cccs1)C2=O)C(O)=O,-2.938
CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1,-6.63
CC(=O)O[C@]1(C(C)=O)C(=C)C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-5.57
CC(=O)Oc1ccccc1C(O)=O,-1.75
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12,-4.173
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.42
CC(=O)c1ccc(N)cc1,-1.61
CC(=O)c1cccc(N)c1,-1.28
CC(=O)c1ccccc1,-1.29
CC(C)(C)C(C)(C)O,-0.72
CC(C)(C)CCCO,-1.55
CC(C)(C)CCO,-0.5
